LotID,TimeStep,EquipID,Desc
Lot 0,0.0,,Arrival
Lot 1,0.0,,Arrival
Lot 2,0.0,,Arrival
Lot 3,0.0,,Arrival
Lot 0,0.0,ToolA,TrackIn
Lot 1,0.0,ToolB,TrackIn
Lot 2,0.0,ToolC,TrackIn
Lot 2,0.16148686469537538,ToolC,TrackOut
Lot 3,0.16148686469537538,ToolC,TrackIn
Lot 0,0.18121128933547873,ToolA,TrackOut
Lot 3,0.2729159388569246,ToolC,TrackOut
Lot 1,0.4634051035027202,ToolB,TrackOut
Lot 4,18.88557791548334,,Arrival
Lot 4,18.88557791548334,ToolA,TrackIn
Lot 4,19.123465704593528,ToolA,TrackOut
Lot 5,55.475513672384864,,Arrival
Lot 5,55.475513672384864,ToolC,TrackIn
Lot 5,55.78285334905601,ToolC,TrackOut
Lot 6,56.86557592968798,,Arrival
Lot 6,56.86557592968798,ToolB,TrackIn
Lot 6,57.1845520500795,ToolB,TrackOut
Lot 7,70.00013505796304,,Arrival
Lot 7,70.00013505796304,ToolA,TrackIn
Lot 7,70.47100845987215,ToolA,TrackOut
Lot 8,80.4181060552277,,Arrival
Lot 8,80.4181060552277,ToolC,TrackIn
Lot 8,81.06640496232556,ToolC,TrackOut
Lot 9,84.91965458550513,,Arrival
Lot 9,84.91965458550513,ToolB,TrackIn
Lot 9,85.2012173329887,ToolB,TrackOut
Lot 10,86.87587034709954,,Arrival
Lot 10,86.87587034709954,ToolA,TrackIn
Lot 10,87.98224465020137,ToolA,TrackOut
Lot 11,96.24934069824273,,Arrival
Lot 11,96.24934069824273,ToolC,TrackIn
Lot 11,96.25939297378744,ToolC,TrackOut
Lot 12,99.56814868701547,,Arrival
Lot 12,99.56814868701547,ToolB,TrackIn
Lot 12,99.72840895130061,ToolB,TrackOut
